Country;ISO2;Indicator;Unit;F1961;F1962;F1963;F1964;F1965;F1966;F1967;F1968;F1969;F1970;F1971;F1972;F1973;F1974;F1975;F1976;F1977;F1978;F1979;F1980;F1981;F1982;F1983;F1984;F1985;F1986;F1987;F1988;F1989;F1990;F1991;F1992;F1993;F1994;F1995;F1996;F1997;F1998;F1999;F2000;F2001;F2002;F2003;F2004;F2005;F2006;F2007;F2008;F2009;F2010;F2011;F2012;F2013;F2014;F2015;F2016;F2017;F2018;F2019;F2020;F2021;F2022
Gambia, The;GM;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;-0.138;-0.047;0.13;-0.192;-0.463;-0.086;-0.381;-0.547;0.832;0.399;-0.054;0.311;0.685;-0.212;-0.164;-0.057;0.489;0.422;0.63;0.82;0.622;0.326;1.131;0.636;0.384;0.665;1.068;0.829;0.609;1.139;0.81;0.852;1.045;0.814;0.878;1.122;1.323;1.555;0.75;0.958;1.316;1.38;1.103;1.188;1.498;1.221;1.09;1.376;0.688;1.324;1.06;0.89;1.001;1.188;1.2;1.635;1.741;1.028;1.349;1.77;1.675;1.323
Georgia;GE;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.157;-1.204;0.451;0.748;0.189;0.266;1.26;1.229;0.967;1.286;1.06;-0.239;0.923;0.542;1.277;0.908;0.699;0.714;2.486;0.432;1.22;1.401;1.277;1.78;1.365;0.809;2.51;1.753;2.006;1.65;1.51
Germany;DE;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;0.99;-0.75;-1.084;-0.328;-0.814;0.407;0.868;0.204;-0.111;-0.832;0.032;-0.014;0.188;0.318;1.099;0.47;0.283;-0.173;-0.64;-0.186;0.296;0.439;1.071;-0.11;-0.8;-0.007;-0.561;0.893;1.491;1.571;0.286;1.228;0.31;1.625;1.307;-0.699;0.558;1.153;1.367;1.764;1.292;1.491;1.258;0.998;1.025;1.254;2.088;1.542;1.282;0.196;1.121;1.349;0.583;2.519;1.674;1.988;1.653;2.393;2.332;2.516;1.325;2.596
Ghana;GH;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;-0.07;-0.154;0.141;-0.233;-0.17;0.068;-0.232;-0.17;0.266;0.302;-0.145;0.024;0.564;0.011;-0.228;-0.353;0.296;0.067;0.561;0.446;0.181;0.177;0.691;0.665;0.357;0.294;0.985;0.645;0.237;0.526;0.394;0.153;0.473;0.564;0.695;0.657;0.502;1.14;0.564;0.43;0.565;0.825;0.988;0.739;0.967;0.991;0.946;0.698;0.884;1.276;0.883;0.614;0.841;0.887;1.132;1.217;1.292;1.081;1.32;1.284;1.494;0.996
Gibraltar;GI;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;0.595;0.536;0.022;0.483;-0.087;0.228;-0.125;0.016;-0.31;-0.048;-0.81;-0.865;-0.157;-0.369;-0.177;-0.469;-0.144;0.213;0.396;0.312;0.358;0.481;0.382;-0.15;0.592;0.227;0.497;0.782;0.908;1.202;0.111;0.176;-0.128;0.736;1.315;0.747;1.47;1.109;0.715;0.829;1.28;0.862;1.4;1.027;0.841;1.425;0.83;0.982;1.283;1.318;1.618;0.924;0.869;1.417;1.382;1.726;2.005;0.739;1.3;1.923;1.504;2.228
Greece;GR;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;0.479;0.619;0.305;-0.301;-0.322;0.79;-0.194;0.182;-0.09;0.269;-0.222;-0.177;-0.357;-0.193;-0.25;-0.916;0.33;-0.555;0.179;-0.379;-0.191;-0.243;-0.493;-0.123;-0.063;0.312;-0.395;0.129;-0.204;0.368;-0.197;-0.528;-0.328;1.06;-0.043;-0.161;-0.195;0.632;0.8;0.679;1.314;0.435;0.385;0.337;0.213;0.254;1.08;0.881;0.771;1.584;0.394;1.235;1.317;1.06;0.904;1.561;0.642;1.905;1.381;1.307;1.655;1.04
Greenland;GL;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;-0.295;0.842;0.308;0.257;0.8;-0.212;-0.371;-0.26;-0.252;-0.224;-0.784;-0.841;-0.987;0.306;-1.093;-0.259;0.76;-0.682;0.498;0.919;-0.36;-0.642;-2.062;-1.455;0.891;0.381;-0.121;0.513;-1.537;-0.348;-0.291;-1.228;-1.355;-0.425;-0.328;0.667;0.391;1.269;0.522;0.839;0.831;1.186;2.328;1.469;1.878;1.717;1.363;0.959;0.851;3.058;1.684;1.625;1.381;1.447;0.205;2.381;1.21;0.934;2.206;1.274;2.482;1.413
Grenada;GD;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;0.114;0.053;0.309;-0.052;-0.196;0.065;-0.233;-0.139;0.504;0.299;-0.303;-0.117;0.073;-0.447;-0.396;-0.24;-0.127;0.067;0.274;0.212;0.331;0.085;0.36;-0.048;-0.429;-0.192;0.442;0.446;-0.169;0.203;0.398;0.388;0.431;0.456;0.71;0.471;0.63;1.187;0.617;0.462;0.691;0.627;0.905;0.433;1.004;0.739;0.678;0.502;0.507;1.201;0.677;0.584;0.776;0.641;0.837;0.945;0.92;0.543;1.169;1.235;0.767;0.698
Guadeloupe;GP;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;0.041;0.048;0.249;0.15;-0.341;0.051;-0.238;-0.211;0.337;0.123;-0.245;-0.147;0.167;-0.381;-0.366;-0.434;0.074;0.117;0.099;0.59;0.5;0.099;0.494;0.038;-0.026;0.01;0.589;0.426;-0.032;0.432;0.448;0.401;0.524;0.564;0.671;0.386;0.51;1.035;0.515;0.279;0.557;0.695;0.816;0.507;0.827;0.698;0.921;0.405;0.547;1.137;0.539;0.671;0.75;0.763;0.998;1.095;0.907;0.62;0.803;1.16;0.826;0.773
Guatemala;GT;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;-0.045;-0.131;-0.096;-0.052;-0.066;-0.057;-0.366;-0.337;0.413;-0.106;-0.141;0.429;0.458;-0.281;0.137;-0.392;0.225;0.128;0.332;0.432;-0.016;0.457;0.649;0.116;0.164;0.125;0.31;0.481;0.132;0.309;0.624;0.445;0.346;0.592;0.595;0.09;0.71;0.867;0.558;0.31;0.344;0.556;0.99;0.611;0.801;0.612;0.597;0.213;0.692;0.685;0.429;0.52;0.624;0.638;1.143;1.425;1.069;0.884;1.418;1.728;1.406;0.916
Guinea;GN;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;-0.145;-0.137;0.16;-0.18;-0.095;-0.003;-0.237;-0.151;0.459;0.345;-0.131;0.203;0.579;-0.063;-0.248;-0.242;0.203;0.192;0.491;0.636;0.337;0.215;0.635;0.38;0.382;0.077;0.81;0.61;0.116;0.653;0.679;0.33;0.702;0.471;0.486;0.791;0.785;1.194;0.512;0.651;0.792;1.13;0.979;1.04;1.19;1.117;0.974;1.113;0.931;1.321;1.095;0.556;1.068;0.857;1.155;1.167;1.522;1.188;1.408;1.26;1.559;1.195
Guinea-Bissau;GW;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;-0.13;-0.071;0.157;-0.227;-0.383;-0.046;-0.269;-0.432;0.723;0.345;-0.059;0.263;0.579;-0.15;-0.195;-0.109;0.358;0.294;0.487;0.645;0.473;0.282;0.902;0.516;0.361;0.495;0.828;0.669;0.441;0.96;0.786;0.71;0.893;0.744;0.798;0.955;1.129;1.56;0.746;0.996;1.244;1.281;1.04;1.171;1.401;1.186;1.034;1.362;0.811;1.328;1.092;0.795;1.055;1.168;1.192;1.572;1.674;1.125;1.419;1.663;1.66;1.295
Guyana;GY;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;0.043;-0.009;-0.188;0.32;-0.065;0.212;-0.083;-0.274;0.439;0.489;-0.486;-0.024;0.084;-0.462;-0.301;-0.354;0.083;-0.028;0.341;0.322;0.185;0.41;0.539;-0.351;-0.329;0.015;0.495;0.4;-0.044;0.527;0.286;0.131;0.178;0.482;0.988;0.61;0.884;1.287;0.405;0.658;0.825;1.074;0.948;0.942;1.321;1.003;1.025;0.558;1.162;1.115;0.968;0.958;0.894;1.071;1.352;1.506;1.149;1.137;1.178;1.4;0.875;1.066
Haiti;HT;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;-0.012;-0.049;-0.111;0.223;-0.31;-0.025;-0.209;-0.272;0.174;-0.123;-0.17;0.015;0.356;-0.342;0.22;-0.431;0.353;0.191;0.219;0.637;0.444;0.571;0.622;0.305;0.163;0.282;0.842;0.721;0.396;0.694;0.775;0.59;0.45;1.198;1.188;0.685;1.099;1.244;1.147;0.858;0.758;0.953;1.24;0.888;1.042;0.935;1.151;0.624;0.806;1.206;0.489;0.759;1.133;1.306;1.384;1.164;1.061;1.277;1.507;1.537;0.883;1.095
Holy See;VA;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;0.735;0.079;-0.137;0.199;-0.415;0.264;0.169;0.036;0.002;-0.13;-0.258;-0.165;0.02;-0.213;-0.133;-0.412;0.317;-0.585;0.115;-0.53;-0.446;0.594;0.274;-0.571;0.286;0.55;0.195;0.755;0.148;1.125;-0.017;0.533;0.48;1.474;0.2;0.361;0.857;0.944;0.79;1.177;1.487;0.716;1.501;0.478;0.479;0.609;1.305;0.958;1.042;0.774;1.047;1.492;0.866;1.37;1.518;1.598;1.318;1.837;1.591;1.734;1.546;2.028
Honduras;HN;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;-0.058;-0.162;-0.229;-0.029;-0.055;0.006;-0.286;-0.319;0.243;-0.124;-0.161;0.269;0.507;-0.327;0.068;-0.248;0.337;0.25;0.407;0.434;0.108;0.449;0.581;0.073;0.14;0.138;0.391;0.621;0.191;0.258;0.493;0.481;0.203;0.774;0.876;0.075;0.797;1.018;0.384;0.128;0.396;0.776;0.672;0.491;0.956;0.621;0.769;0.566;0.811;0.806;0.73;0.639;0.915;0.666;1.126;1.368;1.034;0.804;1.233;1.813;1.098;0.723
Hungary;HU;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;1.176;-0.419;-0.463;-0.877;-0.883;0.755;0.594;0.383;-0.276;-0.508;-0.063;0.39;-0.033;0.263;0.857;-0.274;0.549;-0.871;0.047;-0.62;0.146;0.105;0.997;-0.129;-1.068;0.356;-0.547;0.385;0.864;1.07;-0.058;0.911;0.069;1.755;0.631;-0.34;-0.148;1.081;0.603;1.733;1.391;1.423;0.71;0.543;0.236;0.699;2.142;1.495;1.613;0.806;0.891;1.727;1.159;2.229;2.067;1.89;1.336;2.524;2.353;1.99;1.43;2.142
Iceland;IS;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;0.547;-0.27;-0.091;1.097;-0.131;-0.498;-0.597;-0.635;-0.9;-0.617;-0.005;0.777;-0.099;0.522;-0.42;0.377;-0.258;0.054;-1.239;0.407;-0.909;-0.258;-0.863;0.204;0.164;-0.077;0.685;-0.088;-0.174;0.169;0.766;0.231;0.225;-0.108;-0.33;0.562;0.436;0.238;0.471;0.274;0.584;0.784;1.784;1.235;0.448;1.032;1.101;0.753;0.907;1.147;0.959;0.667;0.687;1.66;0.419;1.411;1.694;0.82;1.339;0.786;0.921;1.201
India;IN;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;-0.208;-0.479;-0.03;-0.03;-0.072;0.29;-0.21;-0.234;0.303;0.033;-0.519;0.012;0.332;0.034;-0.308;0.003;0.155;-0.15;0.305;0.401;0.072;-0.017;-0.135;-0.107;0.211;0.19;0.578;0.504;-0.018;-0.081;0.19;0.035;0.223;0.107;0.238;0.339;-0.064;0.614;0.468;0.35;0.473;0.827;0.665;0.545;0.567;0.638;0.607;0.263;1.134;1.129;0.365;0.516;0.451;0.53;0.711;1.088;0.966;0.874;0.802;0.52;0.733;0.79
Indonesia;ID;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;-0.096;-0.03;-0.134;-0.036;-0.257;0.025;-0.163;-0.069;0.151;0.129;-0.15;-0.054;0.264;-0.111;-0.131;-0.012;0.118;0.176;0.235;0.29;0.2;0.036;0.405;-0.11;0.151;0.138;0.514;0.437;0.13;0.089;0.273;0.341;0.289;0.343;0.382;0.428;0.463;1.05;0.282;0.275;0.53;0.607;0.594;0.54;0.71;0.422;0.464;0.223;0.563;0.766;0.306;0.459;0.799;0.812;0.841;1.488;1.055;0.973;1.118;1.322;1.11;1.085
Iran, Islamic Rep. of;IR;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;-0.068;0.263;0.755;-0.667;-0.28;0.748;-0.271;-0.246;-0.342;0.978;0.097;-0.959;-0.199;-0.677;-0.218;-0.555;0.394;0.274;0.684;0.54;0.677;-0.12;-0.111;0.151;0.243;0.207;0.536;0.706;0.22;0.727;0.389;-0.757;-0.017;0.802;0.698;0.239;0.644;1.165;1.658;1.215;1.525;1.716;0.943;1.528;0.828;1.847;0.874;1.136;1.177;2.214;1.345;1.09;1.642;1.079;1.856;1.669;1.737;2.044;1.597;1.346;2.176;2.37
Iraq;IQ;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;-0.189;0.885;0.433;-0.81;-0.134;0.964;-0.843;-0.275;0.241;0.661;-0.178;-0.731;-0.245;-0.434;-0.239;-0.777;0.313;0.162;1.264;0.058;0.257;-0.406;-0.802;0.036;0.021;0.37;0.368;0.106;0.176;0.356;0.608;-1.169;-0.469;1.009;0.366;0.798;0.305;1.295;1.917;0.995;1.289;1.168;0.96;1.084;0.526;1.621;0.935;1.155;0.881;2.712;0.91;1.293;1.263;1.175;1.94;1.672;1.572;2.406;1.626;1.857;2.644;2.147
